state,city,total_records,anomalies,avg_score,anomaly_rate_percent
Ladakh,Leh,264840,34179,0.0013425514554401986,12.905527865881286
Rajasthan,Udaipur,264840,17935,0.0007137998332356476,6.772013291043649
Himachal_Pradesh,Mandi,264840,15866,0.0007899175816867164,5.990786890197855
Rajasthan,Ajmer,264840,14478,0.0006471067466920703,5.466696873584051
Uttarakhand,Dehradun,264840,12447,0.0006804259502134477,4.699818758495695
Jammu_Kashmir,Baramulla,264840,11688,0.0006484494017950029,4.413230629814228
Ladakh,Kargil,264840,11555,0.0008827441280228985,4.363011629663193
Rajasthan,Barmer,264840,11241,0.0006397955856433924,4.244449478930675
Jammu_Kashmir,Srinagar,264840,11095,0.000649672926899007,4.189321854704727
Chhattisgarh,Ambikapur,264840,10549,0.0006176848417873049,3.9831596435583747
Rajasthan,Jaipur,264840,10424,0.0005469019267631422,3.9359613351457483
Madhya_Pradesh,Indore,264840,9897,0.0005437801789391825,3.736973266878115
Himachal_Pradesh,Solan,264840,9784,0.0006285299713380129,3.694305996073101
Jharkhand,Ranchi,264840,9636,0.0006450542329410955,3.638423198912551
Madhya_Pradesh,Sagar,264840,9389,0.0005415107819760913,3.5451593414892013
Jammu_Kashmir,Kathua,264840,9008,0.0006055194665665162,3.4012988974475156
Sikkim,Mangan,264840,8812,0.0005956323629912014,3.327291949856517
Jharkhand,Hazaribagh,264840,8318,0.0005999982422054214,3.1407642350098173
Rajasthan,Bikaner,264840,8163,0.0005756840238867238,3.0822383325781604
Himachal_Pradesh,Kullu,264840,7940,0.0007136411473821102,2.998036550370035
Madhya_Pradesh,Ujjain,264840,7834,0.00048080288065724766,2.9580123848361275
Jammu_Kashmir,Anantnag,264840,7619,0.0005713737726634516,2.87683129436641
Rajasthan,Jodhpur,264840,7341,0.0005302469122534165,2.771862256456729
Gujarat,Ahmedabad,264840,7267,0.00044595959720962524,2.7439208578764536
Madhya_Pradesh,Bhopal,264840,7032,0.00045988410187804065,2.6551880380607162
Uttarakhand,Nainital,264840,6955,0.0005724094810437794,2.6261138800785377
Maharashtra,Aurangabad,264840,6680,0.0004806148785134993,2.5222776015707598
Uttarakhand,Almora,264840,6620,0.000527434295350165,2.499622413532699
Jammu_Kashmir,Jammu,264840,6151,0.00049532816242693,2.3225343603685245
Himachal_Pradesh,Dharamsala,264840,5821,0.0006039227346651667,2.1979308261591903
Gujarat,Anand,264840,5816,0.0004058772249222666,2.1960428938226855
Maharashtra,Nashik,264840,4978,0.0004911295089761842,1.8796254342244374
Rajasthan,Ganganagar,264840,4466,0.00039742731187054274,1.6863011629663194
Chhattisgarh,Jagdalpur,264840,4339,0.00045739932521667574,1.6383476816190907
Gujarat,Bharuch,264840,4166,0.000384655700216152,1.5730252227760158
Haryana,Sirsa,264840,3981,0.0003965006395172257,1.5031717263253286
Mizoram,Champhai,264840,3834,0.00043422342767191055,1.4476665156320798
Madhya_Pradesh,Jabalpur,264840,3526,0.0003886098473893001,1.331369883703368
Haryana,Hisar,264840,3516,0.00039054611114724985,1.3275940190303581
Gujarat,Rajkot,264840,3469,0.00033583189732171577,1.3098474550672103
Punjab,Bathinda,264840,3243,0.00037808427521147155,1.2245129134571817
Gujarat,Junagadh,264840,3169,0.0003141578716534106,1.196571514876907
Maharashtra,Pune,264840,3127,0.0004236098120978493,1.1807128832502642
Karnataka,Chikkamagaluru,264840,3084,0.0004704551819565104,1.164476665156321
Himachal_Pradesh,Shimla,264840,2831,0.0005027603840905191,1.0689472889291647
Karnataka,Bengaluru,264840,2804,0.00052058031954683,1.0587524543120375
Karnataka,Dharwad,264840,2794,0.000486511654381568,1.0549765896390273
Rajasthan,Kota,264840,2699,0.00039933176845811957,1.0191058752454312
Punjab,Amritsar,264840,2669,0.0003732756531127302,1.007778281226401
Haryana,Rohtak,264840,2602,0.000368541279346413,0.9824799879172331
Manipur,Imphal,264840,2420,0.0004738468823523068,0.9137592508684489
Odisha,Koraput,264840,2328,0.0005244841010581171,0.8790212958767557
Delhi,New_Delhi,264840,2122,0.0003485697474992213,0.8012384836127474
Delhi,Delhi_North,264840,2041,0.00035129389336594006,0.7706539797613653
Uttar_Pradesh,Agra,264840,1941,0.00032073120475099956,0.7328953330312642
Karnataka,Hubballi,264840,1902,0.00041117918100271825,0.7181694608065248
West_Bengal,Midnapore,264840,1832,0.00029389246383676156,0.6917384080954538
West_Bengal,Kolkata,264840,1753,0.0003483072491727616,0.6619090771786739
